"filename", "language", "JavaScript", "Vue.js", "Markdown", "CSS", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 9, 0, 11, 0, 20
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\package-lock.json", "JSON", 0, 0, 0, 0, 21068, 0, 0, 0, 1, 21069
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\package.json", "JSON", 0, 0, 0, 0, 66, 0, 0, 0, 0, 66
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 0, 6, 40
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\public\styles.css", "CSS", 0, 0, 0, 150, 0, 0, 0, 4, 32, 186
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\App.vue", "Vue.js", 0, 36, 0, 0, 0, 0, 0, 4, 3, 43
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\assets\en.js", "JavaScript", 364, 0, 0, 0, 0, 0, 0, 0, 0, 364
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\assets\pt.js", "JavaScript", 358, 0, 0, 0, 0, 0, 0, 0, 0, 358
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\assets\sidebars.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\Content.vue", "Vue.js", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\Loader.vue", "Vue.js", 0, 121, 0, 0, 0, 0, 0, 5, 5, 131
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalAnswer.vue", "Vue.js", 0, 179, 0, 0, 0, 0, 0, 0, 14, 193
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalApiaryDetails.vue", "Vue.js", 0, 164, 0, 0, 0, 0, 0, 0, 14, 178
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalApiaryNotification.vue", "Vue.js", 0, 151, 0, 0, 0, 0, 0, 0, 14, 165
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalCancelAccount.vue", "Vue.js", 0, 148, 0, 0, 0, 0, 0, 9, 14, 171
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalDeleteApiary.vue", "Vue.js", 0, 149, 0, 0, 0, 0, 0, 9, 14, 172
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalDeleteDevice.vue", "Vue.js", 0, 148, 0, 0, 0, 0, 0, 1, 14, 163
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalDeleteIntervention.vue", "Vue.js", 0, 153, 0, 0, 0, 0, 0, 1, 14, 168
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalHarvest.vue", "Vue.js", 0, 177, 0, 0, 0, 0, 0, 0, 14, 191
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalHarvestIgnore.vue", "Vue.js", 0, 153, 0, 0, 0, 0, 0, 1, 14, 168
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalInterventionConcluded.vue", "Vue.js", 0, 153, 0, 0, 0, 0, 0, 1, 14, 168
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalInterventionDetails.vue", "Vue.js", 0, 251, 0, 0, 0, 0, 0, 0, 10, 261
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalNewDevice.vue", "Vue.js", 0, 151, 0, 0, 0, 0, 0, 9, 14, 174
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\components\ModalNextInterventions.vue", "Vue.js", 0, 181, 0, 0, 0, 0, 0, 0, 10, 191
